   217.243.179.165 3320    0.0              (New York City, New York, US, NA)                                                                                                     
   217.243.179.164 3320    1.214            (New York City, New York, US, NA)                                                                                                     
   173.167.56.189  7922    0.642            (New York City, New York, US, NA) hu-0-0-0-23-pe11.60hudson.ny.ibone.comcast.net                                                      
   96.110.34.53    7922    0.824            (New York City, New York, US, NA) be-4211-cs02.newyork.ny.ibone.comcast.net                                                           
   68.86.86.86     7922    0.846            (New York City, New York, US, NA) be-1213-cr13.newyork.ny.ibone.comcast.net                                                           
   68.86.83.181    7922    1.561              (Elizabeth, New Jersey, US, NA) be-302-cr14.newark.nj.ibone.comcast.net                                                             
   96.110.37.69    7922    1.441              (Elizabeth, New Jersey, US, NA) be-1214-cs02.newark.nj.ibone.comcast.net                                                            
   96.110.41.246   36733   1.311 (3.674)                    (None, None, US, NA) *                                                                                                   
   68.85.137.93    36733   7.177                   (West Chester, PA, US, NA) be-1000-ar01-d.westchester.pa.bo.comcast.net                                                        
   68.85.137.213   36733   7.11                    (West Chester, PA, US, NA) be-100-ur21-d.westchester.pa.bo.comcast.net                                                         
   76.26.115.194   7922    7.721         (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
