   179.0.200.36    272037  0.0                       (Panamá, Panamá, PA, NA)                                                                                                     
   179.0.200.1     272037  0.434                     (Panamá, Panamá, PA, NA)                                                                                                     
╭─ 181.78.120.101  52468   51.621                    (Panamá, Panamá, PA, NA) 101.120.78.181.ufinet.com.pa                                                                        
S (52468, 60068)  maya-1 ✓
├  172.16.27.149   *       101.45                                         ***                                                                                                     
╰─ 89.221.41.234   60068   85.567                         (Miami, FL, US, NA) datacamp-234.miami14.mia.seabone.net                                                                
   89.221.41.187   6762    98.219                         (Miami, FL, US, NA) et4-0-5.miami19.mia.seabone.net                                                                     
   96.87.9.145     7922    82.245                         (Miami, FL, US, NA) be-207-pe03.nota.fl.ibone.comcast.net                                                               
   96.110.36.89    7922    100.584                        (Miami, FL, US, NA) be-3301-cs03.miami.fl.ibone.comcast.net                                                             
   96.110.44.190   7922    91.141                         (Miami, FL, US, NA) be-1312-cr12.miami.fl.ibone.comcast.net                                                             
   96.110.39.253   7922    90.894                  (Jacksonville, FL, US, NA) be-304-cr11.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.97    7922    105.957                 (Jacksonville, FL, US, NA) be-1311-cs03.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.102   7922    104.929                 (Jacksonville, FL, US, NA) be-1312-cr12.jacksonville.fl.ibone.comcast.net                                                      
   96.110.36.249   7922    120.568                    (Doraville, GA, US, NA) be-303-cr12.doraville.ga.ibone.comcast.net                                                          
   96.110.34.181   7922    83.403                     (Doraville, GA, US, NA) be-1212-cs02.doraville.ga.ibone.comcast.net                                                         
   96.110.34.198   7922    98.269                     (Doraville, GA, US, NA) be-1213-cr13.doraville.ga.ibone.comcast.net                                                         
   96.110.32.77    7922    126.051                (Ashburn, Virginia, US, NA) be-304-cr11.beaumeade.va.ibone.comcast.net                                                          
   68.86.84.21     7922    127.147                (Ashburn, Virginia, US, NA) be-1211-cs02.beaumeade.va.ibone.comcast.net                                                         
   68.86.92.22     7922    142.006                (Ashburn, Virginia, US, NA)                                                                                                     
   68.85.137.213   36733   112.946                 (West Chester, PA, US, NA) be-100-ur21-d.westchester.pa.bo.comcast.net                                                         
   76.26.115.194   7922    100.32        (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
