   170.81.100.114  266413  0.0                      (Camaçari, Bahia, BR, SA) 170.81.100.114.vivatecnologia.com.br                                                                
   170.81.100.97   266413  1.0                      (Camaçari, Bahia, BR, SA) rt001-are-ba.vivatecnologia.com.br                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 5.178.43.156    6762    22.798                  (Fortaleza, Ceará, BR, SA)                                                                                                     
S (6762)  brusa ✓ || america-movil-submarine-cable-system-1-amx-1 © || south-america-1-sam-1 ✓ || globenet ✘ || americas-ii 👍
╰─ 89.221.41.181   6762    87.507                         (Miami, FL, US, NA) et3-0-2.miami19.mia.seabone.net                                                                     
   96.87.9.145     7922    88.095                         (Miami, FL, US, NA) be-207-pe03.nota.fl.ibone.comcast.net                                                               
   96.110.36.93    7922    87.999                    (Miami, Florida, US, NA) be-3401-cs04.miami.fl.ibone.comcast.net                                                             
   96.110.44.202   7922    88.155                         (Miami, FL, US, NA) be-1412-cr12.miami.fl.ibone.comcast.net                                                             
   96.110.39.245   7922    93.944                  (Jacksonville, FL, US, NA) be-302-cr11.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.113   7922    94.189                  (Jacksonville, FL, US, NA) be-1411-cs04.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.118   7922    93.851                  (Jacksonville, FL, US, NA) be-1412-cr12.jacksonville.fl.ibone.comcast.net                                                      
   96.110.38.61    7922    100.677                    (Doraville, GA, US, NA) be-302-cr12.doraville.ga.ibone.comcast.net                                                          
   96.110.34.185   7922    100.624                    (Doraville, GA, US, NA) be-1312-cs03.doraville.ga.ibone.comcast.net                                                         
   96.110.34.202   7922    100.742                    (Doraville, GA, US, NA) be-1313-cr13.doraville.ga.ibone.comcast.net                                                         
   96.110.32.77    7922    113.203                (Ashburn, Virginia, US, NA) be-304-cr11.beaumeade.va.ibone.comcast.net                                                          
   68.86.84.21     7922    112.9                  (Ashburn, Virginia, US, NA) be-1211-cs02.beaumeade.va.ibone.comcast.net                                                         
   68.86.92.22     7922    117.41                 (Ashburn, Virginia, US, NA)                                                                                                     
   68.85.137.213   36733   117.909                 (West Chester, PA, US, NA) be-100-ur21-d.westchester.pa.bo.comcast.net                                                         
   76.26.115.194   7922    117.61        (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
