   212.10.11.213   39642   0.0               (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
   212.10.11.210   39642   0.478             (Kolding, South Denmark, DK, EU) be2-2615.dck-pe01.link.stofa.net                                                                    
   212.10.13.214   39642   1.021             (Kolding, South Denmark, DK, EU) be-215.koldb-dist02.ip.norlys.io                                                                    
   139.45.18.119   43557   0.867             (Kolding, South Denmark, DK, EU) be-190.koldt-cor03.ip.norlys.io                                                                     
   139.45.29.182   43557   0.916             (Kolding, South Denmark, DK, EU) be-206.koldt-br01.ip.norlys.io                                                                      
   139.45.29.183   43557   4.358         (Silkeborg, Central Jutland, DK, EU) be-206.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.200   43557   4.358         (Silkeborg, Central Jutland, DK, EU) be-183.ejby-cor03.ip.norlys.io                                                                      
   139.45.29.180   43557   4.383         (Silkeborg, Central Jutland, DK, EU) be-206.taa01br01.ip.norlys.io                                                                       
   212.242.8.19    9158    4.239         (Copenhagen, Capital Region, DK, EU)                                                                                                     
   77.214.52.101   9158    9.664                          (Farum, 84, DK, EU) *                                                                                                   
   77.214.52.102   9158    9.39              (Aalborg, North Denmark, DK, EU)                                                                                                     
