   104.238.161.230 20473   0.0                          (Ōi, Saitama, JP, AS) 104.238.161.230.vultrusercontent.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   209.222.31.33   20473   16.285              (Motoyoyogichō, Tokyo, JP, AS) vl199-ds1-j2-r235.tyo2.constant.com                                                                 
   10.71.1.9       *       0.98                                           ***                                                                                                     
   10.71.3.25      *       0.748                                          ***                                                                                                     
   210.171.224.134 13335   1.299                        (Tokyo, 40, JP, None) as13335.ix.jpix.ad.jp                                                                               
   103.22.201.25   13335   1.796                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.68.117.172  13335   1.111                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.68.117.169  13335   0.899                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.68.117.193  13335   0.97                        (Tokyo, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
