   141.164.39.1    20473   0.0                      (Paripark, Seoul, KR, AS) 141.164.39.1.vultrusercontent.com                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       0.549                                          ***                                                                                                     
   10.84.0.29      *       0.798                                          ***                                                                                                     
   10.84.2.41      *       1.07                                           ***                                                                                                     
   10.84.2.38      *       1.05                                           ***                                                                                                     
   192.145.251.68  14828   2.426                       (Seoul, Seoul, KR, AS)                                                                                                     
   172.71.108.3    13335   2.463                       (Seoul, Seoul, KR, AS)                                                                                                     
   172.71.109.40   13335   2.092                       (Seoul, Seoul, KR, AS)                                                                                                     
   172.71.109.19   13335   2.213                       (Seoul, Seoul, KR, AS)                                                                                                     
   172.71.109.16   13335   2.146                       (Seoul, Seoul, KR, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
