   194.156.155.241 48386   0.0                       (Madrid, Madrid, ES, EU) es-mad-as48386-client.anchors.atlas.ripe.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   84.17.33.96     60068   0.431                     (Madrid, Madrid, ES, EU) gw-cdn77-1.mad02.es.misaka.io                                                                       
   81.95.9.58      201011  0.687                     (Madrid, Madrid, ES, EU) ae0-401.mad10.core-backbone.com                                                                     
   193.149.1.26    766     0.997                       (Madrid, 29, ES, None) rediris.baja.espanix.net                                                                            
   130.206.245.25  766     1.146                         (None, None, ES, EU) ciemat.rt2.ethtrunk1.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     1.379                         (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     1.86                          (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     2.381                         (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     2.505                     (Madrid, Madrid, ES, EU)                                                                                                     
