   185.93.159.17   1850    0.0            (Reykjavík, Capital Region, IS, EU) ripe-atlas-anchor.isnic.is                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   193.4.59.204    1850    0.73           (Reykjavík, Capital Region, IS, EU) xe-0-1-3.tg-gw01.isnic.is                                                                           
╭─ 213.181.114.134 44735   1.235          (Reykjavík, Capital Region, IS, EU)                                                                                                     
S (44735)  cantat-3 ✘
╰─ 178.19.49.117   44735   35.611          (Amsterdam, North Holland, NL, EU) int1.amst.sip.is                                                                                    
   80.249.212.0    43414   39.665                      (Schiphol, NH, NL, EU) hu-0-3-3.cr1a.nkhf-asd.h2b.nl                                                                       
   185.185.244.250 43995   40.198                      (Ubbergen, GE, NL, EU) tr4-202.cr1.redb-hvs.h2b.nl                                                                         
   185.185.244.251 49784   43.482                      (Ubbergen, GE, NL, EU) cr1.ap05-vdm.netvisit.nl                                                                            
   46.244.63.74    49784   47.769                (Veendam, Groningen, NL, EU)                                                                                                     
   46.244.63.73    49784   42.358                (Veendam, Groningen, NL, EU)                                                                                                     
