   119.17.170.244  9268    0.0              (Sydney, New South Wales, AU, OC) gen-119-17-170-244.ptr4.otw.net.au                                                                  
   119.17.170.242  9268    0.721            (Sydney, New South Wales, AU, OC) te0-0-0.1397.iaaspe1.47bou.syd.core.otw.net.au                                                      
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.254.250.85   *       1.136                                          ***                                                                                                     
╭─ 103.110.178.245 9268    0.849            (Sydney, New South Wales, AU, OC) welcometoaussiebroadband.syd.otw.net.au                                                             
S (9268, 4764)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 180.150.2.108   4764    149.296          (Santa Clara, California, US, NA) be25.bdr1.coresite-sv1.sjc.aussiebb.net                                                             
   4.39.197.61     3356    149.711          (Foster City, California, US, NA) et-0-0-24.edge1.sanjose1.level3.net                                                                 
   4.69.219.65     3356    149.467                       (None, None, US, NA) *                                                                                                   
   4.68.39.114     7922    150.23                        (None, None, US, NA) *                                                                                                   
   96.110.32.249   7922    149.981                       (None, None, US, NA) be-2311-cs03.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.158   7922    150.193                       (None, None, US, NA) be-1312-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.177   7922    151.124                    (Sunnyvale, CA, US, NA) be-303-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.17    7922    150.879                    (Sunnyvale, CA, US, NA) be-1212-cs02.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.46.22    7922    151.009                    (Sunnyvale, CA, US, NA) be-1213-cr13.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.39.54    7922    167.083                     (Portland, OR, US, NA) be-304-cr11.portland.or.ibone.comcast.net                                                           
   96.110.46.241   7922    166.84                      (Portland, OR, US, NA) be-1311-cs03.portland.or.ibone.comcast.net                                                          
   96.110.46.246   7922    166.957                     (Portland, OR, US, NA) be-1312-cr12.portland.or.ibone.comcast.net                                                          
   96.110.38.45    7922    166.897                      (Seattle, WA, US, NA) be-304-cr12.seattle.wa.ibone.comcast.net                                                            
   96.110.47.217   7922    166.907                      (Seattle, WA, US, NA) be-1412-cs04.seattle.wa.ibone.comcast.net                                                           
   96.110.39.230   7922    167.252                      (Seattle, WA, US, NA) be-2401-pe01.seattle.wa.ibone.comcast.net                                                           
   50.208.235.210  13331   166.618                       (None, None, US, NA) *                                                                                                   
   207.229.73.32   13331   170.959                       (None, None, US, NA) *                                                                                                   
   204.15.11.34    13331   166.727               (SeaTac, Washington, US, NA)                                                                                                     
