   104.238.161.230 20473   0.0                          (Ōi, Saitama, JP, AS) 104.238.161.230.vultrusercontent.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   209.222.31.33   20473   1.062 (16.816)          (Motoyoyogichō, Tokyo, JP, AS) vl199-ds1-j2-r235.tyo2.constant.com                                                                 
   10.71.1.9       *       1.148                                          ***                                                                                                     
   10.71.2.233     *       0.875                                          ***                                                                                                     
╭─ 63.216.242.45   3491    0.657                       (Tokyo, Tokyo, JP, AS) gi0-0-0-3.843.br04.tok01.as3491.net                                                                 
S (3491)  japan-u-s-cable-network-jus 👍 || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter 👍
╰─ 63.218.72.230   3491    107.363                  (Los Angeles, CA, US, NA) HundredGE0-5-0-0.br03.lax05.pccwbtn.net                                                             
   63.218.73.174   3491    111.481          (Los Angeles, California, US, NA) 63-218-73-174.static.pccwglobal.net                                                                 
   96.110.44.97    7922    115.484                  (Los Angeles, CA, US, NA) be-2101-cs01.losangeles.ca.ibone.comcast.net                                                        
   96.110.45.162   7922    111.876                  (Los Angeles, CA, US, NA) be-1111-cr11.losangeles.ca.ibone.comcast.net                                                        
   96.110.36.154   7922    111.873                       (None, None, US, NA) be-303-cr11.9greatoaks.ca.ibone.comcast.net                                                         
   68.86.166.141   7922    112.008                       (None, None, US, NA) be-1211-cs02.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.146   7922    112.007                       (None, None, US, NA) be-1212-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.181   7922    116.165                    (Sunnyvale, CA, US, NA) be-304-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.5     7922    115.431                    (Sunnyvale, CA, US, NA) be-1112-cs01.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.46.10    7922    116.293                    (Sunnyvale, CA, US, NA) be-1113-cr13.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.36.122   7922    138.379                     (Portland, OR, US, NA) be-301-cr11.portland.or.ibone.comcast.net                                                           
   96.110.46.241   7922    131.676                     (Portland, OR, US, NA) be-1311-cs03.portland.or.ibone.comcast.net                                                          
   96.110.46.246   7922    131.57                      (Portland, OR, US, NA) be-1312-cr12.portland.or.ibone.comcast.net                                                          
   96.110.38.33    7922    131.583                      (Seattle, WA, US, NA) be-301-cr12.seattle.wa.ibone.comcast.net                                                            
   96.110.47.217   7922    131.218                      (Seattle, WA, US, NA) be-1412-cs04.seattle.wa.ibone.comcast.net                                                           
   96.110.39.230   7922    123.786                      (Seattle, WA, US, NA) be-2401-pe01.seattle.wa.ibone.comcast.net                                                           
   50.208.235.210  13331   123.504                       (None, None, US, NA) *                                                                                                   
   207.229.73.32   13331   137.221                       (None, None, US, NA) *                                                                                                   
   204.15.11.34    13331   123.494               (SeaTac, Washington, US, NA)                                                                                                     
