   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.32             (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.514            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.173.21   4637    2.533     (Hong Kong, Central and Western, HK, AS) i-0-3-0-6.hkck-core01.telstraglobal.net                                                             
   202.84.157.37   4637    2.065     (Hong Kong, Central and Western, HK, AS)                                                                                                     
╭─ 210.57.53.53    3257    1.545                         (None, None, HK, AS) unknown.telstraglobal.net                                                                           
S (3257)  asia-america-gateway-aag-cable-system ✓
╰─ 89.149.139.222  3257    268.497                      (Seattle, WA, US, NA) ae19.cr5-sea2.ip4.gtt.net                                                                           
   76.74.43.222    13331   179.428                       (None, None, US, NA) ip4.gtt.net                                                                                         
   207.229.73.32   13331   192.367                       (None, None, US, NA) *                                                                                                   
   204.15.11.34    13331   179.16                (SeaTac, Washington, US, NA)                                                                                                     
