   23.155.72.145   64289   0.0              (Santa Clara, California, US, NA)                                                                                                     
   23.151.137.1    64289   0.184            (Santa Clara, California, US, NA)                                                                                                     
   10.10.10.0      *       0.438                                          ***                                                                                                     
   157.238.230.176 2914    0.72                (San Jose, California, US, NA)                                                                                                     
   50.208.234.9    7922    1.073                         (None, None, US, NA) be-201-pe12.9greatoaks.ca.ibone.comcast.net                                                         
   96.110.33.37    7922    1.257                         (None, None, US, NA) be-2212-cs02.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.146   7922    1.078                         (None, None, US, NA) be-1212-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.177   7922    2.524                      (Sunnyvale, CA, US, NA) be-303-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.41    7922    2.336                      (Sunnyvale, CA, US, NA) be-1412-cs04.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.46.46    7922    2.476                      (Sunnyvale, CA, US, NA) be-1413-cr13.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.39.54    7922    18.2                        (Portland, OR, US, NA) be-304-cr11.portland.or.ibone.comcast.net                                                           
   96.110.46.225   7922    18.098                      (Portland, OR, US, NA) be-1211-cs02.portland.or.ibone.comcast.net                                                          
   96.110.46.230   7922    18.43                       (Portland, OR, US, NA) be-1212-cr12.portland.or.ibone.comcast.net                                                          
   96.110.38.41    7922    18.148                       (Seattle, WA, US, NA) be-303-cr12.seattle.wa.ibone.comcast.net                                                            
   96.110.47.205   7922    18.164                       (Seattle, WA, US, NA) be-1312-cs03.seattle.wa.ibone.comcast.net                                                           
   96.110.39.226   7922    18.575                       (Seattle, WA, US, NA) be-2301-pe01.seattle.wa.ibone.comcast.net                                                           
   50.208.235.210  13331   19.02                         (None, None, US, NA) *                                                                                                   
   207.229.73.32   13331   34.498                        (None, None, US, NA) *                                                                                                   
   204.15.11.34    13331   19.062                (SeaTac, Washington, US, NA)                                                                                                     
