   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.246               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.44                (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    2.441               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    2.441               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    2.461               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
╭─ 67.199.139.109  3257    1.933                       (Singapore, 4, SG, AS) ae10.cr4-sin1.ip4.gtt.net                                                                           
S (3257)  seamewe-5 ✓
╰─ 89.149.131.13   3257    282.204                       (Torino, 21, IT, EU) ae9.cr0-trn3.ip4.gtt.net                                                                            
   46.33.86.66     12779   326.497                       (Torino, 21, IT, EU) ip4.gtt.net                                                                                         
   213.254.30.223  12779   1017.53                       (Torino, 21, IT, EU) po1.nx01.colo.trn1.itgate.net                                                                       
   213.212.129.68  12779   330.328                  (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
