   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   0.28           (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.18  48854   0.369          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.254     48854   0.245          (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.37           (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   93.167.247.105  3292    0.407          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
   83.88.19.117    3292    3.314                         (None, None, DK, EU) ae0-0.alb2nqp8.dk.ip.tdc.net                                                                        
   192.38.7.38     6939    6.021                   (Copenhagen, 17, DK, None) *                                                                                                   
   184.104.205.167 6939    5.186         (Copenhagen, Capital Region, DK, EU) kracon-aps.e0-1.core2.cph1.he.net                                                                   
   184.104.205.165 6939    4.909         (Copenhagen, Capital Region, DK, EU) kracon-aps.e0-1.core2.cph1.he.net                                                                   
   185.38.27.194   62113   5.503         (Copenhagen, Capital Region, DK, EU)                                                                                                     
