   185.39.208.23   199993  0.0                       (Lisbon, Lisbon, PT, EU) atlasancora01.wan.dns.pt                                                                            
   185.39.208.60   199993  1.088                     (Lisbon, Lisbon, PT, EU)                                                                                                     
   194.210.4.137   1930    1.637                     (Lisbon, Lisbon, PT, EU) router63.lisboa.fccn.pt                                                                             
   194.210.6.112   1930    1.397                     (Lisbon, Lisbon, PT, EU) router30.lisboa.fccn.pt                                                                             
╭─ 194.210.6.103   1930    1.831                     (Lisbon, Lisbon, PT, EU) router3.lisboa.fccn.pt                                                                              
S&T (1930, 766)  seamewe-3 ✘
╰─ 130.206.194.81  766     9.897                 (Sevilla, Andalusia, ES, EU) fccn-pni1.ethtrunk0-55.cica.rt2.and.red.rediris.es                                                  
   130.206.245.125 766     19.424                        (None, None, ES, EU) cica.rt2.ethtrunk4.telmad.rt1.mad.red.rediris.es                                                    
   130.206.245.50  766     23.304                        (None, None, ES, EU) telmad.rt1.ae11-0.telmad.rt4.mad.red.rediris.es                                                     
   130.206.214.98  13041   28.787                        (None, None, ES, EU) anella-router.red.rediris.es                                                                        
   84.88.18.254    13041   27.997              (Barcelona, Catalonia, ES, EU) anchor-anella.cesca.cat                                                                             
