   144.202.18.114  20473   0.0                     (Atlanta, Georgia, US, NA) 144.202.18.114.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.77.0.89      *       1.043                                          ***                                                                                                     
   10.77.0.137     *       0.524                                          ***                                                                                                     
   10.77.1.93      *       0.989                                          ***                                                                                                     
   209.120.131.205 3356    0.967                        (Atlanta, GA, US, NA) et-2-0-19.cr2-atl2.ip4.gtt.net                                                                      
   89.149.181.50   3257    13.275                (Washington, DC, DC, US, NA) ae36.cr5-was1.ip4.gtt.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.225.2.46    36236   14.291                        (Durham, NC, US, NA) 46.2.225.104.ptr.anycast.net                                                                        
   104.225.3.74    36236   13.7              (Durham, North Carolina, US, NA) 74.3.225.104.ptr.anycast.net                                                                        
