   80.67.181.29    204059  0.0           (Brussels, Brussels Capital, BE, EU) be-bru-as204059.anchors.atlas.ripe.net                                                              
   ***             *       -inf                                           *** *                                                                                                   
   80.67.181.1     204059  1.161                      (Brussels, BRU, BE, EU) edge-01.louise.neutri.net                                                                           
   62.112.29.66    6696    2.088                         (None, None, BE, EU) edg01.blutw.bra.be.verixi.net                                                                       
   87.238.225.10   6696    4.341          (Ixelles, Brussels Capital, BE, EU) edg01.intx1.bra.be.verixi.net                                                                       
   62.115.175.92   1299    2.693         (Brussels, Brussels Capital, BE, EU) brx-b4-link.ip.twelve99.net                                                                         
╭─ 62.115.117.56   1299    2.124         (Brussels, Brussels Capital, BE, EU) brx-b3-link.ip.twelve99.net                                                                         
S&T (1299)  
╰─ 62.115.116.238  1299    5.552               (Paris, Île-de-France, FR, EU) prs-bb1-link.ip.twelve99.net                                                                        
   62.115.118.59   1299    5.76                (Paris, Île-de-France, FR, EU) prs-b3-link.ip.twelve99.net                                                                         
   80.239.135.198  1299    5.487               (Paris, Île-de-France, FR, EU) qbrick-ic-153139.ip.twelve99-cust.net                                                               
   95.81.129.209   52039   17.319                        (None, None, FR, EU) *                                                                                                   
   185.150.253.30  52039   17.505                  (Rennes, Brittany, FR, EU)                                                                                                     
