   144.172.124.251 397031  0.0              (New York City, New York, US, NA)                                                                                                     
   144.172.124.225 397031  7.254            (New York City, New York, US, NA)                                                                                                     
   204.68.252.166  *       1.251               (Bloomfield, New York, US, NA) be5974.nr51.b024352-0.jfk01.atlas.cogentco.com                                                      
   154.24.67.33    174     1.098             (Graniteville, New York, US, NA) be2240.rcr24.jfk01.atlas.cogentco.com                                                               
   154.54.84.213   174     1.552            (New York City, New York, US, NA) be2897.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.40.110   174     7.621                     (Washington, DC, US, NA) be2807.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.24.222   174     23.494                       (Atlanta, GA, US, NA) be2113.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.28.50    174     36.506                         (Miami, FL, US, NA) be3483.ccr22.mia01.atlas.cogentco.com                                                               
   154.54.88.234   174     36.784                    (Miami, Florida, US, NA) be3087.ccr41.mia03.atlas.cogentco.com                                                               
   38.142.40.195   393434  34.777                        (None, None, US, NA) *                                                                                                   
   172.18.10.249   *       91.624                                         ***                                                                                                     
   172.16.240.46   *       91.5                                           ***                                                                                                     
   131.72.76.118   264811  91.846                    (Miami, Florida, US, NA) 131-72-76-118.rev.airlinkdc.com                                                                     
