   152.195.88.35   15133   0.0                       (Miami, Florida, US, NA)                                                                                                     
   152.195.88.33   15133   1.576                     (Miami, Florida, US, NA)                                                                                                     
╭─ 198.32.243.122  16735   1.138                        (Miami, FL, US, None) *                                                                                                   
S (16735)  
╰─ 168.197.23.178  16735   1.905                         (None, None, BR, SA) et-0-0-0-0.border-b.bct.algartelecom.com.br                                                         
   168.197.23.194  16735   105.29                        (None, None, BR, SA) et-0-0-3-0.monet.ptx-b.spo511.algartelecom.com.br                                                   
   170.84.33.89    16735   105.272                       (None, None, BR, SA) et-3-2-0-0.edge-c.spo511.algartelecom.com.br                                                        
   187.72.132.73   16735   107.028                (Osasco, São Paulo, BR, SA) xe-4-0-1-1475.gw1.jd.registro.br                                                                    
   200.160.0.178   22548   105.066                       (None, None, BR, SA) xe-0-1-2-0.core1.jd.registro.br                                                                     
   200.160.0.250   22548   111.243                       (None, None, BR, SA) ae0-0.ar3.jd.registro.br                                                                            
   200.160.6.19    22548   105.385             (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
