   212.116.14.178  6659    0.0                     (Hamburg, Hamburg, DE, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   212.116.21.244  6659    1.005     (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   194.15.144.153  *       0.88      (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   85.119.200.129  61157   0.651     (Norderstedt, Schleswig-Holstein, DE, EU) ae4.cr1.ham5.plusserver.com                                                                         
   85.119.200.85   61157   13.154                        (None, None, DE, EU) ae6.cr2.fra.plusserver.com                                                                          
╭─ 80.81.192.16    3292    13.723            (Frankfurt am Main, 5, DE, None) ae12-0.ffm2nqp1.de.ip.tdc.net                                                                       
T (3292)  
╰─ 83.88.19.117    3292    24.083                        (None, None, DK, EU) ae0-0.alb2nqp8.dk.ip.tdc.net                                                                        
   87.54.6.58      9009    15.949                    (Copenhagen, 84, DK, EU) 87-54-6-58-static.dk.customer.tdc.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   83.97.21.167    9009    15.508                    (Copenhagen, 84, DK, EU) vlan2915.as04.cph1.dk.m247.com                                                                      
   37.120.131.34   59795   16.468                    (Copenhagen, 84, DK, EU) *                                                                                                   
   213.184.86.101  59795   15.537        (Copenhagen, Capital Region, DK, EU) dk-cph-as59795.anchors.atlas.ripe.net                                                               
