   195.43.159.22   207788  0.0                           (Oslo, Oslo, NO, EU) anchors.as207788.net                                                                                
   195.43.159.17   207788  0.314                         (Oslo, Oslo, NO, EU)                                                                                                     
   31.169.48.100   50304   0.849                         (Oslo, Oslo, NO, EU)                                                                                                     
╭─ 62.115.47.198   1299    0.626                         (Oslo, Oslo, NO, EU) oso-b1-link.ip.twelve99.net                                                                         
S&T (1299)  cantat-3 ✘ || havfrueaec-2 ✓
╰─ 62.115.116.107  1299    12.207        (Copenhagen, Capital Region, DK, EU) kbn-bb6-link.ip.twelve99.net                                                                        
   62.115.136.231  1299    11.682        (Copenhagen, Capital Region, DK, EU) kbn-b4-link.ip.twelve99.net                                                                         
   213.248.89.119  1299    13.44         (Copenhagen, Capital Region, DK, EU) m247europesrl-ic-325899.ip.twelve99-cust.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   83.97.21.167    9009    12.98                     (Copenhagen, 84, DK, EU) vlan2915.as04.cph1.dk.m247.com                                                                      
   37.120.131.34   59795   12.714                    (Copenhagen, 84, DK, EU) *                                                                                                   
   213.184.86.101  59795   12.789        (Copenhagen, Capital Region, DK, EU) dk-cph-as59795.anchors.atlas.ripe.net                                                               
