   45.76.126.106   20473   0.0              (Sydney, New South Wales, AU, OC) 45.76.126.106.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       48.056                                         ***                                                                                                     
   10.74.0.29      *       1.036                                          ***                                                                                                     
   10.74.1.189     *       1.259                                          ***                                                                                                     
   218.100.52.89   4764    0.885                        (Sydney, 2, AU, None) as4764.nsw.ix.asn.au                                                                                
   10.241.14.117   *       1.088                                          ***                                                                                                     
   103.110.178.244 9268    0.883            (Sydney, New South Wales, AU, OC) welcometoaussiebroadband.syd.otw.net.au                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   119.17.170.244  9268    1.195            (Sydney, New South Wales, AU, OC) gen-119-17-170-244.ptr4.otw.net.au                                                                  
