   131.72.76.118   264811  0.0                       (Miami, Florida, US, NA) 131-72-76-118.rev.airlinkdc.com                                                                     
   131.72.76.117   264811  0.587                     (Miami, Florida, US, NA) 131-72-76-117.rev.airlinkdc.com                                                                     
   172.16.240.45   *       0.455                                          ***                                                                                                     
   172.83.206.217  393434  57.959                    (Miami, Florida, US, NA) 172-83-206-217.rev.airlinkdc.com                                                                    
   204.2.241.101   2914    58.149                    (Miami, Florida, US, NA) xe-3-4-0-1.a03.miamfl02.us.bb.gin.ntt.net                                                           
   129.250.7.47    2914    58.472                    (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    82.406                        (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.145   2914    81.731                        (None, None, US, NA) ae-0.sayonara-dorian.a04.asbnva02.us.bb.gin.ntt.net                                                 
   168.143.191.203 2914    81.516                 (Ashburn, Virginia, US, NA) ce-0-3-2.a04.asbnva02.us.ce.gin.ntt.net                                                             
   208.73.136.212  32425   84.595                       (Ashland, VA, US, NA) *                                                                                                   
   208.73.136.153  32425   85.098                       (Ashland, VA, US, NA) sw-pxf-mmr-n3k2.pxfactorydc.net                                                                     
   208.73.136.45   32425   84.828                       (Ashland, VA, US, NA) sw-pxf-t1-mng.v986.xe.pxfactorydc.net                                                               
   208.73.138.12   32425   84.615                 (Ashland, Virginia, US, NA)                                                                                                     
