   109.230.214.3   199610  0.0                       (Miami, Florida, US, NA)                                                                                                     
   31.214.134.1    199610  0.444                     (Miami, Florida, US, NA)                                                                                                     
   85.190.172.67   *       0.447                     (Miami, Florida, US, NA)                                                                                                     
   157.238.226.0   2914    0.41                      (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.bb.gin.ntt.net                                                        
   129.250.7.47    2914    0.652                     (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    27.79                         (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.145   2914    25.487                        (None, None, US, NA) ae-0.sayonara-dorian.a04.asbnva02.us.bb.gin.ntt.net                                                 
   168.143.191.203 2914    25.235                 (Ashburn, Virginia, US, NA) ce-0-3-2.a04.asbnva02.us.ce.gin.ntt.net                                                             
   208.73.136.212  32425   27.506                       (Ashland, VA, US, NA) *                                                                                                   
   208.73.136.156  32425   27.681                       (Ashland, VA, US, NA) sw-pxf-mmr-n3k1.pxfactorydc.net                                                                     
   208.73.136.45   32425   27.764                       (Ashland, VA, US, NA) sw-pxf-t1-mng.v986.xe.pxfactorydc.net                                                               
   208.73.138.12   32425   27.581                 (Ashland, Virginia, US, NA)                                                                                                     
