   213.184.86.101  59795   0.0           (Copenhagen, Capital Region, DK, EU) dk-cph-as59795.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   185.212.169.49  9009    0.585             (Herlev, Capital Region, DK, EU) vlan108.as04.cph1.dk.m247.ro                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   87.54.6.57      3292    1.059         (Copenhagen, Capital Region, DK, EU) ae24-100.alb2nqp8.dk.ip.tdc.net                                                                     
   83.88.3.254     3292    3.843                         (None, None, DK, EU) ae2-0.sdnqe11.dk.ip.tdc.net                                                                         
   93.167.247.106  3292    3.956          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   80.70.0.252     48854   4.864          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.255     48854   4.272         (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   212.237.248.21  48854   4.297                    (Skanderborg, 82, DK, EU) *                                                                                                   
   185.221.36.2    48854   3.938         (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
