   185.70.144.118  200567  0.0                     (Hamburg, Hamburg, DE, EU)                                                                                                     
   185.70.144.114  200567  0.217      (Tangstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   62.214.137.217  8881    2.817                         (Berlin, BE, DE, EU) *                                                                                                   
   185.1.210.35    *       5.402                   (Hamburg, Hamburg, DE, EU) hhb002isp006.versatel.de                                                                            
   185.1.210.238   *       3.051                   (Hamburg, Hamburg, DE, EU) decixhamb.hamb2pe2de.gc-net.eu                                                                      
╭─ 194.182.96.65   31027   9.613                   (Hamburg, Hamburg, DE, EU)                                                                                                     
T (31027, 42525)  
╰─ 212.98.119.122  42525   8.648                         (Soborg, 84, DK, EU) ae0-0.hamb1p1de.gc-net.eu                                                                           
   194.182.97.246  42525   10.353                        (None, None, DK, EU) be2.kold1p2dk.gc-net.eu                                                                             
   194.182.97.248  42525   9.947                         (None, None, DK, EU) be2.hoer1p2dk.gc-net.eu                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   185.221.36.2    48854   9.643         (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
