   23.148.232.6    59678   0.0               (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
   23.148.232.1    59678   0.428              (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   107.151.62.1    55081   1.35        (South Plainfield, New Jersey, US, NA)                                                                                                     
   128.177.76.174  6461    45.07            (New York City, New York, US, NA) ca-1-1-c19.ter1.ewr1.us.zip.zayo.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 198.32.118.51   3292    44.804               (New York City, NY, US, None) xe-5-1-0-6.nyk5nqp1.us.ip.tdc.net                                                                   
S (3292)  atlantic-crossing-1-ac-1 ✓ || havfrueaec-2 ✓
╰─ 83.88.3.254     3292    133.665                       (None, None, DK, EU) ae2-0.sdnqe11.dk.ip.tdc.net                                                                         
   93.167.247.106  3292    123.132        (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   80.70.0.248     48854   127.203        (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.249     48854   133.48        (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   212.237.248.17  48854   132.311                  (Skanderborg, 82, DK, EU) *                                                                                                   
   185.221.36.2    48854   130.445       (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
