   185.15.59.74    14907   0.0             (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
   185.15.59.73    14907   0.429 (4.573)        (Haarlem, North Holland, NL, EU) irb-332.asw1-by27-esams.wikimedia.org                                                               
   185.15.59.150   14907   0.859             (Haarlem, North Holland, NL, EU) et-0-0-1.cr2-esams.wikimedia.org                                                                    
   185.15.59.152   14907   0.924             (Haarlem, North Holland, NL, EU) ae0.cr1-esams.wikimedia.org                                                                         
╭─ 80.249.208.104  3292    1.545                       (Schiphol, NH, NL, EU) ae12-0.asd3nqp1.nl.ip.tdc.net                                                                       
S&T (3292)  atlantic-crossing-1-ac-1 ✓ || hronn ✘ || cantat-3 ✘ || cobracable ✘
╰─ 83.88.3.254     3292    11.65                         (None, None, DK, EU) ae2-0.sdnqe11.dk.ip.tdc.net                                                                         
   93.167.247.106  3292    11.73          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   80.70.0.252     48854   12.008         (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.255     48854   12.105        (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   212.237.248.19  48854   11.992                   (Skanderborg, 82, DK, EU) *                                                                                                   
   185.221.36.2    48854   11.789        (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
