   37.46.126.117   51430   0.0                   (Dronten, Flevoland, NL, EU) 62o3vfbg58.playsinglearn.com                                                                        
   79.142.74.3     51430   0.571                 (Dronten, Flevoland, NL, EU) nld-net-ip.as51430.net                                                                              
   37.46.123.252   51430   0.64                  (Dronten, Flevoland, NL, EU) nld-net-ip.as51430.net                                                                              
╭─ 87.245.246.54   9002    0.466                 (Dronten, Flevoland, NL, EU) ae4-207.rt.srv.dro.nl.retn.net                                                                      
S&T (9002)  atlantic-crossing-1-ac-1 ✓ || hronn ✘ || cantat-3 ✘ || cobracable ✘
╰─ 87.245.233.85   9002    10.721                    (Copenhagen, 84, DK, EU) ae1-5.RT.IRX.CPH.DK.retn.net                                                                        
   128.76.59.3     3292    11.324                        (None, None, DK, EU) ae14-0.alb2nqp7.dk.ip.tdc.net                                                                       
   83.88.3.254     3292    15.51                         (None, None, DK, EU) ae2-0.sdnqe11.dk.ip.tdc.net                                                                         
   93.167.247.106  3292    14.867         (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   80.70.0.252     48854   15.106         (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.255     48854   15.989        (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   212.237.248.19  48854   14.914                   (Skanderborg, 82, DK, EU) *                                                                                                   
   185.221.36.2    48854   15.677        (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
