   109.168.125.243 5602    0.0                      (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
   109.168.125.194 5602    0.092 (1.544)              (Figino, Lombardy, IT, EU) 194.125.168.109.host.static.ip.kpnqwest.it                                                          
   94.141.0.137    5602    0.184                   (Figino, Lombardy, IT, EU) er2-xe-1-3-0-0-cal4.mil.kpnqwest.it                                                                 
   94.141.0.201    5602    0.418                   (Figino, Lombardy, IT, EU) er1-xe-0-0-3-0-cal4.mil.kpnqwest.it                                                                 
   109.168.0.22    5602    0.981                           (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal1.mil.kpnqwest.it                                                               
   109.168.0.166   5602    0.27                           (Milan, 25, IT, EU) br1-xe-0-1-0-0-cal1.mil.kpnqwest.it                                                                 
   62.196.8.245    3302    0.377                   (Figino, Lombardy, IT, EU)                                                                                                     
   37.32.106.2     *       8.21                     (Milan, Lombardy, IT, EU)                                                                                                     
   193.201.28.35   *       8.25                         (Rome, Lazio, IT, EU) igt.rom.namex.it                                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   194.187.172.112 35574   8.3                          (Rome, Lazio, IT, EU)                                                                                                     
