   10.0.18.30      *       0.0                                            ***                                                                                                     
   10.0.18.1       *       0.276                                          ***                                                                                                     
   138.204.228.1   61506   0.462             (Valparaíso, Valparaíso, CL, SA)                                                                                                     
   138.204.229.98  61506   3.263               (Quillota, Valparaíso, CL, SA)                                                                                                     
   199.100.17.41   174     3.735     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   154.24.5.113    174     4.301     (Santiago, Santiago Metropolitan, CL, SA) be3838.rcr71.b072113-0.scl01.atlas.cogentco.com                                                     
╭─ 154.54.92.41    174     4.381     (Santiago, Santiago Metropolitan, CL, SA) be4156.ccr51.scl01.atlas.cogentco.com                                                               
S (174)  
╰─ 154.54.3.29     174     100.83                    (Miami, Florida, US, NA) be2716.ccr41.mia03.atlas.cogentco.com                                                               
   173.241.128.133 3257    100.702                        (Miami, FL, US, NA) ae30.cr6-mia1.ip4.gtt.net                                                                           
   213.200.113.150 3257    109.9                          (Miami, FL, US, NA) et-0-0-17.cr8-mia1.ip4.gtt.net                                                                      
   72.29.200.45    3257    110.014                   (Miami, Florida, US, NA) ip4.gtt.net                                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   207.246.74.246  20473   100.512                   (Miami, Florida, US, NA) 207.246.74.246.vultrusercontent.com                                                                 
