   50.28.98.185    53824   0.0             (Paradise Valley, Arizona, US, NA)                                                                                                     
   50.28.98.3      53824   0.611                   (Phoenix, Arizona, US, NA) lw-dc4-dist2-vlan100.rtr.liquidweb.com                                                              
   50.28.96.54     53824   0.712                   (Phoenix, Arizona, US, NA) lw-dc4-core2.rtr.liquidweb.com                                                                      
   50.28.96.239    53824   1.23                    (Phoenix, Arizona, US, NA) lw-dc4-border1-te0-0-0-1.rtr.liquidweb.com                                                          
   38.122.88.41    174     0.937                   (Phoenix, Arizona, US, NA) te0-6-0-7-2.rcr21.b023003-0.phx01.atlas.cogentco.com                                                
   154.54.28.141   174     1.087                        (Phoenix, AZ, US, NA) be3407.ccr31.phx01.atlas.cogentco.com                                                               
   154.54.44.86    174     12.926                   (Los Angeles, CA, US, NA) be2931.ccr41.lax01.atlas.cogentco.com                                                               
   154.54.29.34    174     12.657                   (Los Angeles, CA, US, NA) be2584.agr21.lax01.atlas.cogentco.com                                                               
   154.24.9.134    174     13.838                   (Los Angeles, CA, US, NA) te0-0-0-24.nr01.b019175-0.lax01.atlas.cogentco.com                                                  
   38.140.154.66   35908   11.485                   (Los Angeles, CA, US, NA) 2te-cogent.lax10.vpls.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   66.180.193.34   4213    11.404           (Los Angeles, California, US, NA)                                                                                                     
   149.20.160.25   21699   17.115                        (None, None, US, NA) *                                                                                                   
   149.20.162.6    21699   11.523           (Los Angeles, California, US, NA)                                                                                                     
