   45.87.76.6      208725  0.0           (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
   45.87.79.251    208725  0.236         (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   109.68.160.66   39923   0.307         (Brussels, Brussels Capital, BE, EU) xe-10-2-1.br20.zav.as39923.net                                                                      
   109.68.160.32   39923   0.37          (Brussels, Brussels Capital, BE, EU) xe-5-3-1.br10.ix.as39923.net                                                                        
╭─ 194.53.172.36   *       6.715         (Brussels, Brussels Capital, BE, EU) hivane.bnix.net                                                                                     
S&T (, 34019)  
╰─ 193.164.153.192 34019   6.987                         (None, None, FR, EU) ae0-486-rt2-th2.bb.hivane.net                                                                       
   193.200.43.85   34019   6.861               (Paris, Île-de-France, FR, EU) gw-grifon-th2.bb.hivane.net                                                                         
   89.234.186.144  204092  14.766              (Paris, Île-de-France, FR, EU) enp1s0.201.asbr03.grifon.fr                                                                         
   89.234.186.42   204092  15.05                   (Rennes, Brittany, FR, EU) hv03.cogent-rns.bb.grifon.fr                                                                        
   80.67.190.218   204092  15.093                  (Rennes, Brittany, FR, EU) ripe-anchor.grifon.fr                                                                               
