   213.212.129.68  12779   0.0                      (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
   213.212.129.65  12779   0.636                    (Turin, Piedmont, IT, EU)                                                                                                     
╭─ 213.254.30.220  12779   0.943                         (Torino, 21, IT, EU) be20.Scrappy-Monster.core.TRN.itgate.net                                                            
S&T (12779)  
╰─ 213.254.31.230  12779   19.509                   (London, England, GB, EU) if-0-1-0-0.bulldog.core.lon.itgate.net                                                              
   195.66.227.108  206347  19.482                     (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  21.82                    (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  22.298          (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  22.598          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  22.867          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  22.702          (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  22.869                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  22.916                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
