   194.187.172.112 35574   0.0                          (Rome, Lazio, IT, EU)                                                                                                     
╭─ 194.187.172.101 35574   0.405                        (Rome, Lazio, IT, EU)                                                                                                     
S&T (35574, 206347)  
╰─ 195.66.227.108  206347  33.808                     (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  34.351                   (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  36.651          (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  34.321          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  34.349          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  35.173          (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  34.218                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  37.343                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
