   153.92.43.249   201126  0.0                      (London, England, GB, EU) 153-92-43-249.ip4.cdw.com                                                                           
   153.92.43.254   201126  0.261                   (Redhill, England, GB, EU) 153-92-43-254.ip4.cdw.com                                                                           
   10.255.255.2    *       0.254                                          ***                                                                                                     
   185.74.25.250   201126  1.041                   (Redhill, England, GB, EU) be-1-ibr01-drt-red.uk.cdw.com                                                                       
   153.92.43.246   201126  1.767                   (Redhill, England, GB, EU) fo-4-0-5-core01-drt-red.uk.cdw.com                                                                  
   153.92.43.200   201126  1.917                   (Redhill, England, GB, EU) te-2-0-1-core01-drt-lon.uk.cdw.com                                                                  
   153.92.43.237   201126  1.836                   (Redhill, England, GB, EU) fo-0-0-0-20-ibr01-drt-lon.uk.cdw.com                                                                
   5.57.81.168     206347  1.235                         (None, None, GB, EU) br01.thn.ranston.net                                                                                
   138.124.175.82  206347  3.833                    (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  4.383           (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  4.998           (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  4.834           (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  4.688           (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  4.85                    (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  4.858                     (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
