   82.148.224.6    25376   0.0                      (Bolton, England, GB, EU)                                                                                                     
   82.148.224.193  25376   0.559                    (Bolton, England, GB, EU) vl16.ds-193.netnorth.net.uk                                                                         
   82.148.224.3    25376   0.332                         (None, None, GB, EU) Po1-16.asr-bol23.netnorth.net.uk                                                                    
   195.66.227.108  206347  7.659                      (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  10.297                   (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  10.638          (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  11.14           (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  11.284          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  11.093          (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  11.261                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  11.491                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
