   109.230.208.226 199610  0.0                  (Clifton, New Jersey, US, NA)                                                                                                     
   45.159.5.193    199610  0.944            (New York City, New York, US, NA)                                                                                                     
   62.115.44.132   1299    1.67             (New York City, New York, US, NA) ewr-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.126.176  1299    2.314            (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
S (1299)  exa-north-and-south ✘ || atlantic-crossing-1-ac-1 ✓ || yellow ✓ || apollo © || tata-tgn-atlantic ✓ || flag-atlantic-1-fa-1 ©
╰─ 62.115.112.245  1299    73.406                   (London, England, GB, EU) ldn-bb2-link.ip.twelve99.net                                                                        
   62.115.120.239  1299    73.209              (Cricklewood, England, GB, EU) ldn-b2-link.ip.twelve99.net                                                                         
   62.115.61.39    1299    73.381                   (London, England, GB, EU) marstons-ic-325846.ip.twelve99-cust.net                                                             
   176.123.44.34   206347  70.944                        (None, None, GB, EU) *                                                                                                   
   138.124.175.161 206347  74.116          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  74.452          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  76.739          (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  77.58                   (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  74.969                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
