   80.82.242.39    28792   0.0                  (Manchester, England, GB, EU) 39-242-82-80.in-addr.pblin.net                                                                      
   80.82.242.38    28792   0.485                  (Didsbury, England, GB, EU) 38-242-82-80.in-addr.pblin.net                                                                      
   80.82.243.241   28792   0.234                  (Didsbury, England, GB, EU) gi0-2-0.man-core-01.ip.pblin.net                                                                    
   80.82.243.153   28792   5.348                        (Witney, ENG, GB, EU) te0-3-0.lon-core-02.ip.pblin.net                                                                    
   195.66.227.108  206347  5.577                      (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  8.107                    (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  8.591           (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  8.873           (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  9.028           (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  9.004           (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  9.067                   (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  9.389                     (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
