   123.176.1.4     7642    0.0                    (Male, Kaafu Atoll, MV, AS)                                                                                                     
   123.176.1.2     7642    0.786                  (Male, Kaafu Atoll, MV, AS)                                                                                                     
╭─ 202.1.205.246   7642    0.945                  (Male, Kaafu Atoll, MV, AS) xe-1-1-1-1.rt.dhivehinet.net.mv                                                                     
LHL (7642, 206347)  peace-cable ✘ ↠ europe-india-gateway-eig ✓ || peace-cable ✘ ↠ seamewe-3 ✓ || peace-cable ✘ ↠ flag-europe-asia-fea ✘
╰─ 195.66.227.108  206347  135.065                    (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  137.737                  (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  138.07          (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  137.946         (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  138.368         (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  138.288         (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  138.28                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  138.608                   (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
