   103.225.148.27  45701   0.0                     (Jakarta, Jakarta, ID, AS) ip-27-148-225-103.globalxtreme.net                                                                  
   103.225.148.17  45701   0.379                   (Jakarta, Jakarta, ID, AS) ip-17-148-225-103.globalxtreme.net                                                                  
   202.58.202.35   *       18.826                  (Jakarta, Jakarta, ID, AS) ae-0-9-r1-jkt1.globalxtreme.net                                                                     
╭─ 202.58.202.250  *       30.587                  (Jakarta, Jakarta, ID, AS) ae-2-3-r2-sg1.globalxtreme.net                                                                      
S (, 206347)  
╰─ 195.66.227.108  206347  188.24                     (London, ENG, GB, None) *                                                                                                   
   138.124.175.82  206347  189.093                  (Gillingham, ENG, GB, EU) *                                                                                                   
   138.124.175.150 206347  190.093         (Iwerne Courtney, England, GB, EU)                                                                                                     
   138.124.175.158 206347  191.755         (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  190.144         (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  189.707         (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  190.544                 (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  189.918                   (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
