   185.233.32.213  211997  0.0       (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) 185-233-32-213.eho.link                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   130.117.48.166  174     1.821                 (Lille/Lesquin, HDF, FR, EU) be2461.rcr51.lil01.atlas.cogentco.com                                                               
╭─ 154.54.72.109   174     12.883                        (Paris, IDF, FR, EU) be2779.ccr41.par01.atlas.cogentco.com                                                               
S&T (174)  seamewe-3 ✓
╰─ 154.54.56.129   174     19.196                       (London, ENG, GB, EU) be12497.ccr41.lon13.atlas.cogentco.com                                                              
   154.54.61.158   174     19.45                        (London, ENG, GB, EU) be2375.rcr21.b015533-1.lon13.atlas.cogentco.com                                                     
   149.11.25.82    174     18.96                    (London, England, GB, EU)                                                                                                     
   138.124.175.161 206347  22.133          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.174 206347  22.549          (Blandford Forum, England, GB, EU)                                                                                                     
   138.124.175.190 206347  22.714          (Blandford Forum, England, GB, EU)                                                                                                     
   37.143.136.249  196745  22.69                   (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  23.069                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
