   185.51.192.48   60781   0.0               (Haarlem, North Holland, NL, EU)                                                                                                     
   185.51.192.254  60781   0.147             (Haarlem, North Holland, NL, EU)                                                                                                     
   81.17.35.96     *       0.494             (Haarlem, North Holland, NL, EU) be-24.br02.ams-01.nl.leaseweb.net                                                                   
╭─ 31.31.38.118    *       0.191             (Haarlem, North Holland, NL, EU) po-102.agg01.ams-01.leaseweb.net                                                                    
S&T (, 16265)  circe-north ✘ || ulysses-2 ✘ || scylla ✘ || zeus ✘ || concerto ✘ || farland-north ✘
╰─ 31.31.34.21     16265   6.948                        (London, ENG, GB, EU) po-1.bb01.lon-10.leaseweb.net                                                                       
   195.66.224.131  28792   7.775                      (London, ENG, GB, None) *                                                                                                   
   80.82.243.141   28792   6.195                        (Witney, ENG, GB, EU) gi-2-1-0.lon-core-01.ip.pblin.net                                                                   
   80.82.243.120   28792   9.749                        (Witney, ENG, GB, EU) oxf-core-02.ip.pblin.net                                                                            
   80.82.243.127   28792   9.163                        (Witney, ENG, GB, EU) oxf-access-10.ip.pblin.net                                                                          
   80.82.241.134   28792   9.155                    (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
