   103.151.64.31   140627  0.0                     (Hagåtña, Hagatna, GU, OC) atlas.guam.as140627.net                                                                             
╭─ 103.151.64.30   140627  0.915                 (Piti Village, Piti, GU, OC) oq-guam-cor01--atlas-probe.as140627.net                                                             
S (140627)  asia-america-gateway-aag-cable-system ✓ || tata-tgn-pacific ✓ || sea-us ✓
╰─ 103.151.64.29   140627  109.376          (Los Angeles, California, US, NA) losangeles.routers.as140627.net                                                                     
   24.43.134.177   20001   109.692          (Los Angeles, California, US, NA) syn-024-043-134-177.biz.spectrum.com                                                                
   24.43.15.120    20001   110.231          (Los Angeles, California, US, NA) syn-024-043-015-120.biz.spectrum.com                                                                
   76.58.25.112    20001   111.939          (Los Angeles, California, US, NA) lag-210.mcr02cyprcabw.netops.charter.com                                                            
   72.129.5.14     20001   111.755          (Los Angeles, California, US, NA) lag-103.mcr02tustcaft.netops.charter.com                                                            
   72.129.5.116    20001   111.219          (Los Angeles, California, US, NA) lag-9-10.rcr01tustcaft.netops.charter.com                                                           
   66.109.6.64     7843    111.879                       (None, None, US, NA) bu-ether16.tustca4200w-bcr00.tbone.rr.com                                                           
   66.109.5.241    7843    112.365                  (Los Angeles, CA, US, NA) *                                                                                                   
   206.223.123.95  2152    112.442                       (None, None, US, NA) eqix-la2.cenic.net                                                                                  
   137.164.11.71   2152    120.407                  (Los Angeles, CA, US, NA) dc-lax-agg8--lax-agg10-300g.cenic.net                                                               
   137.164.11.21   2152    120.017                    (Sunnyvale, CA, US, NA) dc-svl-agg8--lax-agg8--100g--2.cenic.net                                                            
   137.164.23.145  46749   120.407                    (Sunnyvale, CA, US, NA) dc-stanford--svl-agg4-100ge.cenic.net                                                               
   171.66.0.238    32      170.925                     (Stanford, CA, US, NA) csee-west-rtr-vl12.SUNet                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   171.67.70.16    32      171.492             (Stanford, California, US, NA) us-pao-as32.anchors.atlas.ripe.net                                                                  
