   94.247.111.19   49673   0.0       (Novosibirsk, Novosibirsk Oblast, RU, EU) ru-ovb-as49673.anchors.atlas.ripe.net                                                               
   94.247.111.1    49673   0.09      (Novosibirsk, Novosibirsk Oblast, RU, EU) gw-1106.net.truenetwork.ru                                                                          
   62.78.95.105    48858   0.09 (2.994)                    (None, None, RU, EU) host_62_78_95_105.milecom.ru                                                                        
   62.115.169.174  48858   26.886                           (Ufa, BA, RU, EU) ertelekom-ic-313400-mow-b4.c.telia.net                                                              
   62.115.169.173  1299    49.166                    (Moscow, Moscow, RU, EU) mow-b4-link.ip.twelve99.net                                                                         
   62.115.135.107  1299    44.222                    (Moscow, Moscow, RU, EU) mow-b8-link.ip.twelve99.net                                                                         
╭─ 62.115.135.95   1299    48.821                    (Moscow, Moscow, RU, EU) mow-b6-link.ip.twelve99.net                                                                         
LHL (1299)  
╰─ 62.115.143.24   1299    68.415              (Stockholm, Stockholm, SE, EU) s-bb1-link.ip.twelve99.net                                                                          
   62.115.118.107  1299    63.687              (Stockholm, Stockholm, SE, EU) s-b3-link.ip.twelve99.net                                                                           
   62.115.188.85   1299    80.43               (Stockholm, Stockholm, SE, EU) hydro-ic-354237.ip.twelve99-cust.net                                                                
   185.71.177.180  200675  81.257                 (Boden, Norrbotten, SE, EU)                                                                                                     
