   91.209.0.21     60396   0.0                         (Malmö, Skåne, SE, EU) se-lud-as60396.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   46.227.64.210   42675   0.95                         (Lund, Skåne, SE, EU) ae5-704.cph-ixn.obe.net                                                                             
   46.227.64.234   42675   1.6                          (Lund, Skåne, SE, EU) ae5-100.cph-dlr.obe.net                                                                             
╭─ 212.237.193.110 39642   2.845                         (None, None, SE, EU) netnod-ix-cph-green-9000.norlys.dk                                                                  
S&T (39642, 43557)  energinet-laeso-varberg ✘ || globalconnect-2-gc2 ✘ || kattegat-2 ✓ || denmark-sweden-16 ✓
╰─ 139.45.29.181   43557   6.256         (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   5.974         (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   6.078         (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  5.893                     (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   5.681             (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
