   45.135.151.45   208751  0.0                 (Zuidbroek, Groningen, NL, EU) ripeatlasanchor.dmz.as208751.net                                                                    
   45.135.151.33   208751  0.464               (Zuidbroek, Groningen, NL, EU) tungw.masterwayz.nl                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   5.178.113.226   59554   1.502               (Zuidbroek, Groningen, NL, EU)                                                                                                     
╭─ 193.239.118.42  39642   14.348                    (Amsterdam, 7, NL, None) norlys.globalconnect-dk.nl-ix.net                                                                   
S&T (39642, 43557)  cobracable ✘
╰─ 139.45.29.181   43557   18.312        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   18.619        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   18.117        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  17.823                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   17.503            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
