   87.195.79.82    12414   0.0                   (Dronten, Flevoland, NL, EU) nl-dro-as12414.anchors.atlas.ripe.net                                                               
   87.195.79.81    12414   0.553                 (Dronten, Flevoland, NL, EU) dsl-087-195-079-081.solcon.nl                                                                       
   212.45.44.189   12414   0.848                 (Dronten, Flevoland, NL, EU) ae23.cr2.dro2.network.solcon.net                                                                    
   212.45.44.157   12414   1.415              (Marken, North Holland, NL, EU) ae11.cr1.ams2.network.solcon.net                                                                    
╭─ 193.239.118.42  39642   11.318                    (Amsterdam, 7, NL, None) norlys.globalconnect-dk.nl-ix.net                                                                   
S&T (39642, 43557)  
╰─ 139.45.29.181   43557   15.016        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   15.047        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   14.681        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  14.671                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   14.226            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
