   217.168.87.54   34087   0.0                 (Trondheim, Trøndelag, NO, EU)                                                                                                     
   217.168.87.225  34087   1.174         (Stjørdalshalsen, Trøndelag, NO, EU) ip225.as49271.net                                                                                   
   178.164.9.141   34087   2.114         (Stjørdalshalsen, Trøndelag, NO, EU) 178.164.9.141.3p.ntebredband.no                                                                     
   217.168.93.93   34087   7.657               (Steinkjer, Trøndelag, NO, EU) 217-168-93.93.ntebredband.no                                                                        
   217.168.93.93   34087   7.657               (Steinkjer, Trøndelag, NO, EU) 217-168-93.93.ntebredband.no                                                                        
╭─ 62.67.73.109    3356    7.642                         (Oslo, Oslo, NO, EU) et-4-0-0.edge1.oslo2.level3.net                                                                     
S&T (3356)  skagenfiber-west ©
╰─ 171.75.8.55     3356    14.765          (Glostrup, Capital Region, DK, EU) ae1.3105.edge2.cop2.neo.colt.net                                                                    
   212.133.12.194  3356    15.179        (Copenhagen, Capital Region, DK, EU)                                                                                                     
   139.45.29.181   43557   19.834        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   19.045        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   19.047        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  19.167                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   18.965            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
