   193.163.86.201  58057   0.0                   (Dronten, Flevoland, NL, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   178.21.23.2     50673   0.824                 (Dronten, Flevoland, NL, EU)                                                                                                     
   185.8.179.33    50673   1.351                         (None, None, NL, EU) *                                                                                                   
╭─ 193.239.118.42  39642   11.844                    (Amsterdam, 7, NL, None) norlys.globalconnect-dk.nl-ix.net                                                                   
S&T (39642, 43557)  cobracable ✘
╰─ 139.45.29.181   43557   16.122        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   15.5          (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   15.819        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  15.054                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   15.109            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
