   31.15.54.138    1257    0.0              (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.137    1257    0.277                (Slaka, Östergötland, SE, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.233.77.225   1257    1.172                (Slaka, Östergötland, SE, EU) host-37-233-76-225.ipv4.regusnet.com                                                                
   81.216.114.68   1257    0.837                (Slaka, Östergötland, SE, EU) lkg462-sn-1.eth-trunk4s2330106.tele2.net                                                            
   91.129.19.83    1257    5.473            (Linköping, Östergötland, SE, EU) lin3-sn-1.eth-trunk2.tele2.net                                                                      
   91.129.19.80    1257    5.469            (Linköping, Östergötland, SE, EU) lkg456-sn-1.eth-trunk2.tele2.net                                                                    
   91.129.19.78    1257    5.654            (Linköping, Östergötland, SE, EU) ch-lin-agg-1.bundle-ether6.tele2.net                                                                
   91.129.13.94    1257    5.857            (Linköping, Östergötland, SE, EU) nrk316-agg-1.bundle-ether2.tele2.net                                                                
   91.129.16.156   1257    5.9              (Linköping, Östergötland, SE, EU) avk-cagg-1.bundle-ether49.tele2.net                                                                 
   91.129.12.12    1257    5.429                         (None, None, SE, EU) ssol1-core-2.bundle-ether7.tele2.net                                                                
   91.129.14.122   1257    6.031               (Stockholm, Stockholm, SE, EU) mtc-peer-2.ae2-unit0.tele2.net                                                                      
╭─ 4.68.38.49      3356    5.617               (Stockholm, Stockholm, SE, EU) ae-12.edge4.stockholm2.level3.net                                                                   
S&T (3356)  kattegat-2 © || denmark-sweden-16 ©
╰─ 171.75.8.175    3356    9.204           (Hvidovre, Capital Region, DK, EU) ae2.3205.edge2.cop2.neo.colt.net                                                                    
   212.133.12.194  3356    9.608         (Copenhagen, Capital Region, DK, EU)                                                                                                     
   139.45.29.181   43557   14.126        (Copenhagen, Capital Region, DK, EU) be-206.ejby-cor03.ip.norlys.io                                                                      
   139.45.18.201   43557   13.743        (Silkeborg, Central Jutland, DK, EU) be-183.koldt-cor03.ip.norlys.io                                                                     
   139.45.18.118   43557   13.188        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist02.ip.norlys.io                                                                    
   212.10.13.217   197288  13.295                    (Copenhagen, 84, DK, EU) be217.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   13.487            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
