   76.26.115.194   7922    0.0           (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
   76.26.115.193   7922    0.759         (West Chester, Pennsylvania, US, NA) gi-103-0-0-28-ur21-d.westchester.pa.bo.comcast.net                                                  
   68.85.137.214   7922    0.4           (West Chester, Pennsylvania, US, NA) be21-ar01-d.westchester.pa.bo.comcast.net                                                           
   68.86.92.17     7922    5.49                   (Ashburn, Virginia, US, NA) be-39811-cs01.beaumeade.va.ibone.comcast.net                                                        
   68.86.85.66     7922    5.401                  (Ashburn, Virginia, US, NA) be-1113-cr13.beaumeade.va.ibone.comcast.net                                                         
   96.110.36.114   7922    6.984                         (Newark, NJ, US, NA) be-301-cr12.newark.nj.ibone.comcast.net                                                             
   96.110.35.81    7922    6.906                         (Newark, NJ, US, NA) be-1112-cs01.newark.nj.ibone.comcast.net                                                            
   96.110.37.66    7922    7.1                           (Newark, NJ, US, NA) be-2103-pe03.newark.nj.ibone.comcast.net                                                            
   68.86.83.182    7922    7.272            (New York City, New York, US, NA) be-302-cr13.newyork.ny.ibone.comcast.net                                                            
   68.86.86.85     7922    7.477              (Weehawken, New Jersey, US, NA) be-1213-cs02.newyork.ny.ibone.comcast.net                                                           
   96.110.34.22    7922    7.644                       (New York, NY, US, NA) be-3211-pe11.111eighthave.ny.ibone.comcast.net                                                      
   23.30.207.94    15133   7.799                       (New York, NY, US, NA) *                                                                                                   
   152.195.68.35   15133   7.245            (New York City, New York, US, NA)                                                                                                     
