   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.484       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   150.164.1.129   271354  0.97        (Belo Horizonte, Minas Gerais, BR, SA) dccbdr.dcc.ufmg.br                                                                                  
   150.164.164.1   271354  0.863 (6.83)  (Belo Horizonte, Minas Gerais, BR, SA) isolado-gw-dcc.rede.ufmg.br                                                                         
   150.164.164.132 271354  0.878       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  0.845       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.733       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.642       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    1.004       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.467       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.231      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.047                        (None, None, BR, SA) *                                                                                                   
╭─ 170.79.213.19   *       96.653      (Belo Horizonte, Minas Gerais, BR, SA) mia1-cce1-tisparkle.bkb.rnp.br                                                                      
S (, 2914)  
╰─ 129.250.200.157 2914    97.179                      (New York, NY, US, NA) xe-0-0-44-2.sayonara-dorian.a00.miamfl02.us.bb.gin.ntt.net                                          
   129.250.2.109   2914    97.159                    (Miami, Florida, US, NA) ae-7.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    120.021                       (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.36    2914    120.681                       (None, None, US, NA) ae-0.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.6.117   2914    126.72                        (None, None, US, NA) ae-4.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.3.17    2914    125.886                       (None, None, US, NA) ae-1.sayonara-dorian.r00.lsanca07.us.bb.gin.ntt.net                                                 
   128.241.1.14    15133   127.331                     (New York, NY, US, NA) ce-0-13-0-0.r00.nycmny17.us.ce.gin.ntt.net                                                          
   152.195.68.35   15133   126.407          (New York City, New York, US, NA)                                                                                                     
