   200.1.122.55    27678   0.0       (Santiago, Santiago Metropolitan, CL, SA) unassigned.nic.cl                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   190.196.23.146  14259   2.749                       (Santiago, RM, CL, SA) static.190.196.23.146.gtdinternet.com                                                               
   190.196.126.76  14259   3.033                       (Santiago, RM, CL, SA) cn1.et8-3-0.53.re1.gtdinternet.com                                                                  
   45.68.16.79     7195    4.672                     (Santiago, 12, CL, None) EdgeUno-7195.SCL.PITChile.cl                                                                        
   200.25.51.207   7195    4.529     (Santiago, Santiago Metropolitan, CL, SA) ae1021.0.edge2.scl2.as7195.net                                                                      
   200.25.51.40    7195    4.189     (Santiago, Santiago Metropolitan, CL, SA) ae0.0.edge1.scl2.as7195.net                                                                         
   200.25.88.146   7195    3.605     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   152.53.30.32    42473   3.975     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   37.252.251.26   42473   3.892     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
