   196.49.15.189   328998  0.0              (Kampala, Central Region, UG, AF)                                                                                                     
   196.49.15.253   328998  0.496            (Kampala, Central Region, UG, AF)                                                                                                     
   41.191.77.205   37063   0.867            (Kampala, Central Region, UG, AF)                                                                                                     
   129.205.30.77   37063   0.908                         (Kampala, C, UG, AF) *                                                                                                   
   212.88.110.33   20294   2.278            (Kampala, Central Region, UG, AF)                                                                                                     
╭─ 41.210.190.134  20294   2.917            (Kampala, Central Region, UG, AF)                                                                                                     
LHL (20294, 16637)  eastern-africa-submarine-system-eassy ✓ || seacomtata-tgn-eurasia ✘
╰─ 196.44.5.16     16637   74.605             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   196.4.92.236    16637   74.746             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   196.60.8.152    3491    186.176                (Johannesburg, 6, ZA, None) pccwglobal.ixp.joburg                                                                               
   63.223.48.154   3491    194.422            (Johannesburg, Gauteng, ZA, AF) hu0-0-0-21.br03.jnb01.as3491.net                                                                    
   41.79.249.228   3491    194.576            (Johannesburg, Gauteng, ZA, AF) 41-79-249-228.static.pccwglobal.net                                                                 
