   102.222.106.178 328699  0.0               (Port Louis, Port Louis, MU, AF)                                                                                                     
   102.222.106.1   328699  0.119             (Ebene, Plaines Wilhems, MU, AF)                                                                                                     
╭─ 196.46.49.33    36868   0.273             (Ebene, Plaines Wilhems, MU, AF)                                                                                                     
S (36868, 6939)  meltingpot-indianoceanic-submarine-system-metiss ✘ || safe ✓
╰─ 196.46.34.109   6939    43.805                  (Johannesburg, GT, ZA, AF) *                                                                                                   
   105.22.34.173   37100   43.819             (Johannesburg, Gauteng, ZA, AF) ce-0-1-5-91.er-01-jnb.za.seacomnet.com                                                              
   105.16.29.8     37100   43.862                  (Johannesburg, GT, ZA, AF) ce-5-0-2.pp-01-jnb.za.seacomnet.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   168.209.1.165   3741    221.06                        (None, None, ZA, AF) mi-za-pkl-p7-be-202-102.ip.ddii.network                                                             
   168.209.88.128  3741    214.018                       (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   ***             *       -inf                                           *** *                                                                                                   
   196.33.119.98   3491    206.862                 (Johannesburg, GT, ZA, AF) *                                                                                                   
   63.223.48.154   3491    205.31             (Johannesburg, Gauteng, ZA, AF) hu0-0-0-21.br03.jnb01.as3491.net                                                                    
   41.79.249.228   3491    204.456            (Johannesburg, Gauteng, ZA, AF) 41-79-249-228.static.pccwglobal.net                                                                 
