   206.144.243.4   5006    0.0               (Minneapolis, Minnesota, US, NA)                                                                                                     
   206.144.243.5   5006    0.612             (Minneapolis, Minnesota, US, NA)                                                                                                     
   206.147.164.106 40160   34.784                     (Dallas, Texas, US, NA)                                                                                                     
   216.200.132.66  6461    34.186                     (Dallas, Texas, US, NA) xa-1-2-6.mpr2.dfw1.us.zip.zayo.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   64.125.26.205   6461    46.023             (Dallas-Fort Worth, TX, US, NA) ae3.ter1.dfw2.us.zip.zayo.com                                                                       
   64.124.69.11    6461    45.886                     (Dallas, Texas, US, NA) 64.124.69.11.ipyx-288174-002-zyo.zip.zayo.com                                                       
   206.148.25.106  7578    39.338              (Secaucus, New Jersey, US, NA)                                                                                                     
   206.148.25.25   7578    39.201               (East Point, Georgia, US, NA) e51.atl-drtatl1-bb1.globalsecurelayer.com                                                           
   206.148.25.49   7578    50.966                 (Ashburn, Virginia, US, NA) e60.ash-eqxdc10-bb3.globalsecurelayer.com                                                           
   206.148.25.57   7578    50.731           (New York City, New York, US, NA) e51.nyc-eqxny2-bb1.globalsecurelayer.com                                                            
   223.165.7.148   7578    50.16               (Secaucus, New Jersey, US, NA)                                                                                                     
   206.148.25.113  7578    50.252              (Secaucus, New Jersey, US, NA)                                                                                                     
   5.252.164.113   *       50.375              (Secaucus, New Jersey, US, NA) po17.core1.nyc1.as931.net                                                                           
   199.119.64.197  969     50.245              (Secaucus, New Jersey, US, NA) po98.cr01.ewr02.us.misaka.io                                                                        
   170.39.226.4    48024   50.204                        (Newark, NJ, US, NA) po02.mlag.ewr02.us.misaka.io                                                                        
   170.39.226.151  57695   50.384              (Secaucus, New Jersey, US, NA) us-uyk-as57695.anchors.atlas.ripe.net                                                               
