   151.139.52.113  33438   0.0                        (Dallas, Texas, US, NA)                                                                                                     
   151.139.52.5    12989   0.183                         (None, None, US, NA) *                                                                                                   
   151.139.52.3    12989   0.151                         (None, None, US, NA) *                                                                                                   
   206.223.118.75  *       0.171                      (Dallas, Texas, US, NA) eqix-da1.gslnetworkspty.com                                                                         
   206.148.25.25   7578    14.787               (East Point, Georgia, US, NA) e51.atl-drtatl1-bb1.globalsecurelayer.com                                                           
   206.148.25.49   7578    28.322                 (Ashburn, Virginia, US, NA) e60.ash-eqxdc10-bb3.globalsecurelayer.com                                                           
   206.148.25.57   7578    34.32            (New York City, New York, US, NA) e51.nyc-eqxny2-bb1.globalsecurelayer.com                                                            
   223.165.7.148   7578    33.816              (Secaucus, New Jersey, US, NA)                                                                                                     
   206.148.25.113  7578    33.955              (Secaucus, New Jersey, US, NA)                                                                                                     
   5.252.164.113   *       33.897              (Secaucus, New Jersey, US, NA) po17.core1.nyc1.as931.net                                                                           
   199.119.64.197  969     33.951              (Secaucus, New Jersey, US, NA) po98.cr01.ewr02.us.misaka.io                                                                        
   170.39.226.4    48024   33.874                        (Newark, NJ, US, NA) po02.mlag.ewr02.us.misaka.io                                                                        
   170.39.226.151  57695   33.969              (Secaucus, New Jersey, US, NA) us-uyk-as57695.anchors.atlas.ripe.net                                                               
