   46.227.202.97   41495   0.0                  (Manchester, England, GB, EU) uk-mnc-as41495.anchors.atlas.ripe.net                                                               
   46.227.207.255  41495   0.5                      (London, England, GB, EU) anycast.gateway.faelix.net                                                                          
   46.227.206.41   41495   0.518                (Manchester, England, GB, EU) host-46-227-206-41.rev.as41495.net                                                                  
   46.227.206.84   41495   0.73                 (Manchester, England, GB, EU) v0100.bond0.fossey.a.faelix.net                                                                     
   46.227.200.125  41495   0.925                (Manchester, England, GB, EU) v102.eth5.bly.w.faelix.net                                                                          
   46.227.200.231  41495   6.934                    (London, England, GB, EU) host-46-227-200-231.rev.as41495.net                                                                 
   46.227.204.73   41495   6.943                      (Westbury, ENG, GB, EU) v0404.eth6.dekker.d.faelix.net                                                                      
   195.66.226.25   14061   8.445                      (London, ENG, GB, None) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   46.101.90.215   14061   8.346                    (London, England, GB, EU) uk-lon-as14061.anchors.atlas.ripe.net                                                               
