   103.170.25.13   142360  0.0               (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
   103.170.25.9    142360  0.145             (Semarang, Central Java, ID, AS) ipv4-9-25-170-103.nexa.net.id                                                                       
   103.170.24.253  142360  0.245             (Semarang, Central Java, ID, AS) ipv4-253-24-170-103.nexa.net.id                                                                     
   103.247.123.130 55666   0.307             (Semarang, Central Java, ID, AS) ipv4-130-123-247.as55666.net                                                                        
   49.128.183.197  55666   8.004                   (Jakarta, Jakarta, ID, AS) br2-xe-931.as55666.net                                                                              
╭─ 49.128.183.45   55666   8.134                   (Jakarta, Jakarta, ID, AS) ipv4-45-183-128.as55666.net                                                                         
S&T (55666, 58552)  
╰─ 202.72.204.247  58552   8.314                       (Singapore, 4, SG, AS) *                                                                                                   
   43.240.230.1    58552   19.517              (Singapore, Singapore, SG, AS)                                                                                                     
   203.208.175.25  133796  19.673                        (None, None, SG, AS) *                                                                                                   
   203.208.151.49  7473    19.642              (Singapore, Singapore, SG, AS)                                                                                                     
   203.208.151.38  7473    19.667              (Singapore, Singapore, SG, AS)                                                                                                     
   203.208.148.82  202196  20.418                        (None, None, SG, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   37.10.41.14     202196  20.398              (Singapore, Singapore, SG, AS)                                                                                                     
