   89.213.179.65   32167   0.0                 (Hong Kong, Hong Kong, HK, AS) 89-213-179-65.ip.lshiyusercontent.com                                                               
   89.213.179.64   32167   0.062             (Kadoorie, Kowloon City, HK, AS) 89-213-179-64.ip.lshiyusercontent.com                                                               
   103.203.243.10  955     0.241             (Kadoorie, Kowloon City, HK, AS) port-channe17.switch1.hkg1.bb.lshiy.net                                                             
   ***             *       -inf                                           *** *                                                                                                   
   210.57.53.40    4637    1.442               (Hong Kong, Hong Kong, HK, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.157.38   4637    2.176     (Hong Kong, Central and Western, HK, AS)                                                                                                     
S (4637)  apcn-2 👍 || southeast-asia-japan-cable-sjc ✓ || eac-c2c 👍 || asia-pacific-gateway-apg ✓ || asia-america-gateway-aag-cable-system 👍
╰─ 202.84.249.162  4637    32.325              (Singapore, Singapore, SG, AS)                                                                                                     
   202.84.244.41   4637    34.272              (Singapore, Singapore, SG, AS) i-91.sggs01.telstraglobal.net                                                                       
   210.57.30.94    4637    34.109              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   37.10.41.14     202196  33.395              (Singapore, Singapore, SG, AS)                                                                                                     
