   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.49    *       0.363                                          ***                                                                                                     
   138.197.251.14  *       0.839            (New York City, New York, US, NA)                                                                                                     
   138.197.248.18  *       0.495            (New York City, New York, US, NA)                                                                                                     
   62.115.45.5     1299    1.114            (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   62.115.112.70   1299    1.877            (New York City, New York, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
   62.115.136.201  1299    7.314                  (Ashburn, Virginia, US, NA) ash-bb2-link.ip.twelve99.net                                                                        
   62.115.140.209  1299    7.551                  (Ashburn, Virginia, US, NA) rest-b6-link.ip.twelve99.net                                                                        
   213.248.84.145  1299    7.815                  (Ashburn, Virginia, US, NA) max-ic-319129.ip.twelve99-cust.net                                                                  
   206.196.178.150 10886   7.083                   (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
