   199.47.174.227  12110   0.0                       (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
   199.47.174.225  12110   1.157                     (Tampa, Florida, US, NA) vlan-200.coop-stack.tampa.coop                                                                      
   66.216.50.41    19151   1.124                     (Tampa, Florida, US, NA)                                                                                                     
   66.216.2.15     19151   24.056                        (Dallas, TX, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   64.125.26.202   6461    45.489             (Dallas-Fort Worth, TX, US, NA) ae2.cs1.dfw2.us.zip.zayo.com                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   64.125.30.53    6461    45.243                    (Washington, DC, US, NA) ae18.er2.dca3.us.zip.zayo.com                                                                       
   173.46.67.199   10886   47.935                       (Memphis, TN, US, NA) 173.46.67.199.broadcast.zip.zayo.com                                                                
   206.196.178.80  10886   45.485                        (None, None, US, NA) ae0.mcln-core.maxgigapop.net                                                                        
   206.196.178.150 10886   45.735                  (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
