   128.164.88.178  11039   0.0         (Washington, Washington, D.C., US, NA) us-dca-as11039.anchors.atlas.ripe.net                                                               
   128.164.88.190  11039   0.375                     (Washington, DC, US, NA) *                                                                                                   
   128.164.203.215 11039   0.498                     (Washington, DC, US, NA) *                                                                                                   
   162.250.137.142 11164   0.499                     (Washington, DC, US, NA) *                                                                                                   
   198.71.47.105   11164   3.13                      (Washington, DC, US, NA) hundredge-0-0-0-28.134.core1.wash.net.internet2.edu                                                 
   163.253.1.127   11164   3.312                         (None, None, US, NA) fourhundredge-0-0-0-48.4079.agg1.ashb.net.internet2.edu                                             
   162.252.69.146  7922    2.421                         (None, None, US, NA) *                                                                                                   
   96.110.32.133   7922    2.627                        (Ashburn, VA, US, NA) be-2411-cs04.ashburn.va.ibone.comcast.net                                                           
   68.86.84.30     7922    2.577                  (Ashburn, Virginia, US, NA) be-1411-cr11.beaumeade.va.ibone.comcast.net                                                         
   96.110.32.1     7922    16.744                     (Doraville, GA, US, NA) be-301-cr13.doraville.ga.ibone.comcast.net                                                          
   96.110.34.197   7922    16.698                     (Doraville, GA, US, NA) be-1213-cs02.doraville.ga.ibone.comcast.net                                                         
   96.110.34.182   7922    16.76                      (Doraville, GA, US, NA) be-1212-cr12.doraville.ga.ibone.comcast.net                                                         
   96.110.38.62    7922    23.186                  (Jacksonville, FL, US, NA) be-302-cr12.jacksonville.fl.ibone.comcast.net                                                       
   96.110.47.69    7922    23.083                  (Jacksonville, FL, US, NA) be-1112-cs01.jacksonville.fl.ibone.comcast.net                                                      
   96.110.47.66    7922    23.263                  (Jacksonville, FL, US, NA) be-1111-cr11.jacksonville.fl.ibone.comcast.net                                                      
   96.110.39.254   7922    29.13                          (Miami, FL, US, NA) be-304-cr12.miami.fl.ibone.comcast.net                                                              
   96.110.44.201   7922    28.985                         (Miami, FL, US, NA) be-1412-cs04.miami.fl.ibone.comcast.net                                                             
   96.110.36.94    7922    29.359                        (None, None, US, NA) be-3401-pe01.nota.fl.ibone.comcast.net                                                              
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   92.223.107.231  199610  27.681                         (Miami, FL, US, NA) *                                                                                                   
   85.190.172.67   *       28.904                    (Miami, Florida, US, NA)                                                                                                     
   109.230.214.3   199610  27.274                    (Miami, Florida, US, NA)                                                                                                     
